Feature,Count,%Miss.,Card.,Min.,1stQRT,Mean,Median,3rdQRT,Max.,StDev.
ProductId,9886.0,0.0,307,-9.1726e+18,-4.35648e+18,6.104515668622242e+16,2.47757e+16,5.0561e+18,9.20715e+18,5.315584155400644e+18
ListingPrice,9886.0,0.0,4976,3.24,63.63,216.48016690268952,125.99,257.8625,3194.32,256.5794003723208
SellerFeedbackRating,9886.0,0.0,25,0.0,91.0,88.97592555128465,95.0,96.0,100.0,21.55961555293168
SellerFeedbackCount,9886.0,0.0,123,0.0,338.0,6910.402488367388,3293.0,8452.0,41420.0,10918.235680959562
SellerId,9886.0,0.0,187,-9.13612e+18,-2.57228e+18,9.641003001213862e+17,1.16312e+18,5.47794e+18,9.17405e+18,4.919221779248733e+18
ShippingPrice,9886.0,0.0,1104,0.0,0.0,12.434699575156763,7.5,13.68,705.27,26.476572255244353
ShippingTime_minHours,9886.0,0.0,12,0.0,24.0,57.26643738620271,24.0,96.0,672.0,82.80106893076757
ShippingTime_maxHours,9886.0,0.0,11,0.0,48.0,88.87477240542181,48.0,120.0,1008.0,120.39719250212241
